n,L,K,p.value,epsilon,seed
200,25,100,0.07920792079207921,0,49
200,25,100,0.40594059405940597,0.05,49
200,25,100,0.0594059405940594,0.09999999999999999,49
200,25,100,0.009900990099009901,0.15000000000000002,49
200,25,100,0.009900990099009901,0.2,49
200,25,100,0.009900990099009901,0.25,49
200,25,100,0.009900990099009901,0.3,49
200,25,100,0.009900990099009901,0.35000000000000003,49
200,25,100,0.009900990099009901,0.4,49
200,25,100,0.009900990099009901,0.45,49
200,25,100,0.6336633663366337,0,50
200,25,100,0.1782178217821782,0.05,50
200,25,100,0.1782178217821782,0.09999999999999999,50
200,25,100,0.04950495049504951,0.15000000000000002,50
200,25,100,0.04950495049504951,0.2,50
200,25,100,0.009900990099009901,0.25,50
200,25,100,0.009900990099009901,0.3,50
200,25,100,0.009900990099009901,0.35000000000000003,50
200,25,100,0.009900990099009901,0.4,50
200,25,100,0.009900990099009901,0.45,50
200,25,100,0.019801980198019802,0,51
200,25,100,0.1485148514851485,0.05,51
200,25,100,0.039603960396039604,0.09999999999999999,51
200,25,100,0.039603960396039604,0.15000000000000002,51
200,25,100,0.009900990099009901,0.2,51
200,25,100,0.009900990099009901,0.25,51
200,25,100,0.009900990099009901,0.3,51
200,25,100,0.009900990099009901,0.35000000000000003,51
200,25,100,0.009900990099009901,0.4,51
200,25,100,0.009900990099009901,0.45,51
200,25,100,0.6336633663366337,0,52
200,25,100,0.1782178217821782,0.05,52
200,25,100,0.04950495049504951,0.09999999999999999,52
200,25,100,0.04950495049504951,0.15000000000000002,52
200,25,100,0.0297029702970297,0.2,52
200,25,100,0.0297029702970297,0.25,52
200,25,100,0.009900990099009901,0.3,52
200,25,100,0.009900990099009901,0.35000000000000003,52
200,25,100,0.009900990099009901,0.4,52
200,25,100,0.009900990099009901,0.45,52
200,25,100,0.5445544554455446,0,53
200,25,100,0.12871287128712872,0.05,53
200,25,100,0.0891089108910891,0.09999999999999999,53
200,25,100,0.0594059405940594,0.15000000000000002,53
200,25,100,0.0594059405940594,0.2,53
200,25,100,0.039603960396039604,0.25,53
200,25,100,0.019801980198019802,0.3,53
200,25,100,0.009900990099009901,0.35000000000000003,53
200,25,100,0.009900990099009901,0.4,53
200,25,100,0.009900990099009901,0.45,53
200,25,100,0.297029702970297,0,54
200,25,100,0.48514851485148514,0.05,54
200,25,100,0.1485148514851485,0.09999999999999999,54
200,25,100,0.1485148514851485,0.15000000000000002,54
200,25,100,0.0891089108910891,0.2,54
200,25,100,0.039603960396039604,0.25,54
200,25,100,0.009900990099009901,0.3,54
200,25,100,0.009900990099009901,0.35000000000000003,54
200,25,100,0.009900990099009901,0.4,54
200,25,100,0.009900990099009901,0.45,54
200,25,100,0.37623762376237624,0,55
200,25,100,0.04950495049504951,0.05,55
200,25,100,0.04950495049504951,0.09999999999999999,55
200,25,100,0.04950495049504951,0.15000000000000002,55
200,25,100,0.0297029702970297,0.2,55
200,25,100,0.009900990099009901,0.25,55
200,25,100,0.009900990099009901,0.3,55
200,25,100,0.009900990099009901,0.35000000000000003,55
200,25,100,0.009900990099009901,0.4,55
200,25,100,0.009900990099009901,0.45,55
200,25,100,0.900990099009901,0,56
200,25,100,0.12871287128712872,0.05,56
200,25,100,0.12871287128712872,0.09999999999999999,56
200,25,100,0.009900990099009901,0.15000000000000002,56
200,25,100,0.009900990099009901,0.2,56
200,25,100,0.009900990099009901,0.25,56
200,25,100,0.009900990099009901,0.3,56
200,25,100,0.009900990099009901,0.35000000000000003,56
200,25,100,0.009900990099009901,0.4,56
200,25,100,0.009900990099009901,0.45,56
200,25,100,0.9108910891089109,0,57
200,25,100,0.3069306930693069,0.05,57
200,25,100,0.07920792079207921,0.09999999999999999,57
200,25,100,0.0594059405940594,0.15000000000000002,57
200,25,100,0.009900990099009901,0.2,57
200,25,100,0.009900990099009901,0.25,57
200,25,100,0.009900990099009901,0.3,57
200,25,100,0.009900990099009901,0.35000000000000003,57
200,25,100,0.009900990099009901,0.4,57
200,25,100,0.009900990099009901,0.45,57
200,25,100,0.3069306930693069,0,58
200,25,100,0.22772277227722773,0.05,58
200,25,100,0.10891089108910891,0.09999999999999999,58
200,25,100,0.0594059405940594,0.15000000000000002,58
200,25,100,0.019801980198019802,0.2,58
200,25,100,0.009900990099009901,0.25,58
200,25,100,0.009900990099009901,0.3,58
200,25,100,0.009900990099009901,0.35000000000000003,58
200,25,100,0.009900990099009901,0.4,58
200,25,100,0.009900990099009901,0.45,58
200,25,100,1.00990099009901,0,59
200,25,100,0.2871287128712871,0.05,59
200,25,100,0.1782178217821782,0.09999999999999999,59
200,25,100,0.019801980198019802,0.15000000000000002,59
200,25,100,0.009900990099009901,0.2,59
200,25,100,0.009900990099009901,0.25,59
200,25,100,0.009900990099009901,0.3,59
200,25,100,0.009900990099009901,0.35000000000000003,59
200,25,100,0.009900990099009901,0.4,59
200,25,100,0.009900990099009901,0.45,59
200,25,100,0.2376237623762376,0,60
200,25,100,0.7524752475247525,0.05,60
200,25,100,0.42574257425742573,0.09999999999999999,60
200,25,100,0.3069306930693069,0.15000000000000002,60
200,25,100,0.2079207920792079,0.2,60
200,25,100,0.07920792079207921,0.25,60
200,25,100,0.009900990099009901,0.3,60
200,25,100,0.009900990099009901,0.35000000000000003,60
200,25,100,0.009900990099009901,0.4,60
200,25,100,0.009900990099009901,0.45,60
200,25,100,0.0594059405940594,0,61
200,25,100,0.07920792079207921,0.05,61
200,25,100,0.07920792079207921,0.09999999999999999,61
200,25,100,0.07920792079207921,0.15000000000000002,61
200,25,100,0.07920792079207921,0.2,61
200,25,100,0.019801980198019802,0.25,61
200,25,100,0.019801980198019802,0.3,61
200,25,100,0.009900990099009901,0.35000000000000003,61
200,25,100,0.009900990099009901,0.4,61
200,25,100,0.009900990099009901,0.45,61
200,25,100,0.6039603960396039,0,62
200,25,100,0.7029702970297029,0.05,62
200,25,100,0.0891089108910891,0.09999999999999999,62
200,25,100,0.0891089108910891,0.15000000000000002,62
200,25,100,0.009900990099009901,0.2,62
200,25,100,0.009900990099009901,0.25,62
200,25,100,0.009900990099009901,0.3,62
200,25,100,0.009900990099009901,0.35000000000000003,62
200,25,100,0.009900990099009901,0.4,62
200,25,100,0.009900990099009901,0.45,62
200,25,100,0.25742574257425743,0,63
200,25,100,0.0594059405940594,0.05,63
200,25,100,0.019801980198019802,0.09999999999999999,63
200,25,100,0.019801980198019802,0.15000000000000002,63
200,25,100,0.019801980198019802,0.2,63
